time,P,G(i),H_sun,T2m,WS10m,Int
20150101:0010,0.0,0.0,0.0,-0.41,0.48,0.0
20150101:0110,0.0,0.0,0.0,-0.88,0.55,0.0
20150101:0210,0.0,0.0,0.0,-1.1,0.48,0.0
20150101:0310,0.0,0.0,0.0,-1.44,0.83,0.0
20150101:0410,0.0,0.0,0.0,-3.33,1.59,0.0
20150101:0510,0.0,0.0,0.0,-2.96,1.79,0.0
20150101:0610,0.0,0.0,0.0,-2.68,1.79,0.0
20150101:0710,0.0,0.0,0.0,-2.65,1.45,0.0
20150101:0810,4481.9,81.15,2.64,-2.61,2.0,0.0
20150101:0910,28251.5,418.52,9.45,-1.9,2.0,0.0
20150101:1010,38110.91,565.76,14.53,-1.03,2.28,0.0
20150101:1110,48209.4,727.45,17.49,-0.29,2.14,0.0
20150101:1210,49011.67,740.81,18.04,0.28,2.34,0.0
20150101:1310,42992.8,645.62,16.11,0.87,2.55,0.0
20150101:1410,23188.97,349.83,11.92,1.22,2.41,0.0
20150101:1510,5921.72,103.82,5.81,0.93,2.14,0.0
20150101:1610,0.0,0.0,0.0,-0.09,2.83,0.0
20150101:1710,0.0,0.0,0.0,-0.58,3.38,0.0
20150101:1810,0.0,0.0,0.0,-0.83,3.45,0.0
20150101:1910,0.0,0.0,0.0,0.18,3.45,0.0
20150101:2010,0.0,0.0,0.0,0.03,3.59,0.0
20150101:2110,0.0,0.0,0.0,-0.04,3.86,0.0
20150101:2210,0.0,0.0,0.0,-0.01,4.07,0.0
20150101:2310,0.0,0.0,0.0,0.24,4.21,0.0
20150102:0010,0.0,0.0,0.0,0.62,4.21,0.0
20150102:0110,0.0,0.0,0.0,0.99,4.34,0.0
20150102:0210,0.0,0.0,0.0,1.56,4.55,0.0
20150102:0310,0.0,0.0,0.0,2.04,4.69,0.0
20150102:0410,0.0,0.0,0.0,2.87,4.83,0.0
20150102:0510,0.0,0.0,0.0,3.72,4.97,0.0
20150102:0610,0.0,0.0,0.0,4.54,4.97,0.0
20150102:0710,0.0,0.0,0.0,5.38,4.9,0.0
20150102:0810,3545.29,69.32,2.66,5.91,4.97,0.0
20150102:0910,895.62,25.53,9.48,6.49,4.9,0.0
